YEAR,Hong Kong/CGPD RELATIVE TO THE UNITED STATES (unit US=100),Hong Kong/CONSUMPTION SHARE OF CGPD (unit %),Hong Kong/CONSUMPTION SHARE OF RGDPL (unit %),Hong Kong/CURRENT SAVINGS (unit %),Hong Kong/EXCHANGE RATE (unit US=1),Hong Kong/GOVERNMENT SHARE OF CGDP (unit %),Hong Kong/GOVERNMENT SHARE OF RGDPL (unit %),Hong Kong/INVESTMENT SHARE OF CGDP (unit %),Hong Kong/INVESTMENT SHARE OF RGDPL (unit %),Hong Kong/OPENNESS IN CONSTANT PRICES (unit %),Hong Kong/OPENNESS IN CURRENT PRICES (unit %),Hong Kong/POPULATION (unit 000S),Hong Kong/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),Hong Kong/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),Hong Kong/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),Hong Kong/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),Hong Kong/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),Hong Kong/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1950,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,
1960,23.5913484320,72.0206893520,69.3919133600,26.6728946490,5.7143001560,1.3064159988,1.6194971156,36.8203115760,29.4296690690,104.2497913700,186.7853310800,3064.0000000000,57.5412891740,369.9159312300,57.0049847180,44.8536241190,100.4527943200,681.4169991700
1961,23.6123329940,73.7422261590,70.8925167900,24.9503644270,5.7143001560,1.3074094136,1.5778849108,35.9760923530,28.8539138720,98.2855703060,173.4580755100,3219.8400000000,58.9124662120,360.1515251800,57.9708428460,45.0591773070,99.6048153710,693.0837292100
1962,24.4854684030,72.2129616060,68.9476205870,26.2471815630,5.7143001560,1.5398568307,1.8168088003,37.8221881180,30.9669448510,97.4239564630,170.5581809100,3360.5600000000,58.7522722490,282.4966113500,57.1754266350,44.9912807670,99.8440606290,760.4004327400
1963,28.3031355140,63.9239539310,61.2509688780,30.4026992590,5.7143001560,5.6733468108,6.6191074850,40.3829148850,33.1628422710,86.1314776670,160.6110019600,3486.1600000000,58.7960971620,66.9926056960,54.4478531290,45.8024226510,99.9039524050,914.9532207800
1964,29.5768790630,61.5912843030,59.1417941660,32.7400231990,5.7143001560,5.6686924980,6.5556423351,43.1768771490,35.5624978480,85.1734304870,160.7774094700,3596.6400000000,59.0942676900,68.4742236230,54.7408286260,46.7276438130,99.5725916920,1014.0071499000
1965,32.9398446850,57.3053063250,56.9855764680,37.4473283550,5.7143001560,5.2473653201,6.1065516587,40.9337717210,34.8646223760,78.7500274860,143.7207867700,3692.0000000000,58.5425235130,70.7302435840,54.4049756930,46.5198462190,100.0000000000,1211.9787820000
1966,32.8998804950,63.2317432420,62.1109409650,31.1588867260,5.7143001560,5.6093700316,6.3262890535,34.7559079430,29.4302416530,82.1853980220,158.2408336100,3772.2400000000,54.4847359560,67.5547873860,50.4096178610,40.2286028300,100.0000000000,1309.9393594000
1967,33.4895422490,61.8663803360,62.8006164870,32.2266493530,5.7431578640,5.9069703117,6.7679490217,27.6048828320,24.2515408820,86.8590186510,159.4930977700,3837.3600000000,54.9646998710,66.3489988900,50.4268040990,36.8496728360,100.0000000000,1388.1511127000
1968,33.1769242160,64.7402552260,65.8406446920,29.2228228980,6.0605998040,6.0369218760,6.8106829488,23.8753299590,21.2382887630,95.4960876260,178.1183714800,3887.3600000000,50.8931353880,61.4458070320,47.0099577330,32.8302162390,100.0000000000,1487.5280880000
1969,36.0488468690,63.0783528840,64.9566035590,30.9978196580,6.0605998040,5.9238274578,6.6665077842,22.1957143200,19.8882441320,97.9936538010,184.1314162500,3922.2400000000,50.2457274760,57.8276607430,46.9662868730,34.7475940000,100.0000000000,1733.9912433000
1970,39.5112107470,63.3811451220,65.1983932240,30.6940474810,6.0605998040,5.9248073967,6.4681563523,23.0207966650,20.6806374500,99.4704930460,181.4903426400,3942.0000000000,49.8192187480,58.2864365720,48.7601570870,43.3925795080,100.0000000000,1975.6664970000
1971,41.1560147410,64.3451747190,66.4215921020,29.9850015590,5.9774332050,5.6698237219,6.0479940716,25.8315261080,23.4533741260,99.2415594690,177.4913229700,4012.1600000000,50.4696452560,57.9960616750,50.1117190890,47.4895877410,100.0000000000,2207.6881162000
1972,43.2723415220,61.8422310470,65.1645316940,32.6045112640,5.6414170270,5.5532576884,5.9227451608,24.6853301440,23.1132243370,95.9147879830,163.8444988900,4089.0400000000,55.0356959140,64.2607210910,54.9074480730,52.4820291070,100.0000000000,2524.3092466000
1973,44.5681445210,63.2341358210,65.7553886440,31.2155613120,5.1465001110,5.5503028666,5.7697377589,24.9513998530,22.9288988270,94.2815710830,167.1978195200,4172.6400000000,67.6634011350,74.5330159560,66.3749056080,61.2947543890,100.0000000000,2879.4681627000
1974,43.6994517220,63.3558192580,64.1522939780,30.4460506520,5.0315828320,6.1981300908,6.1724094559,25.7530829250,22.6719085100,87.1532735940,171.1151329400,4262.9600000000,73.0468693000,78.6501344410,72.1002502720,68.1950534280,100.0000000000,3032.6354682000
1975,45.0489204370,62.5755587410,65.2353276150,31.0230319010,4.9351668360,6.4014093582,6.5399967471,25.5677469820,22.7949603270,88.4267922060,163.7458146800,4360.0000000000,69.7618049510,75.1520752750,67.8372637760,61.2956493650,100.0000000000,3374.3775371000
1976,50.4607424830,56.5318736910,61.2092098470,37.7969115260,4.9047498700,5.6712147837,6.0219734977,27.2249681070,25.3937614820,96.5461768250,170.4960821400,4443.0000000000,70.1140012510,77.6202155970,68.9369798620,64.6841293560,100.0000000000,4177.1034548000
1977,52.4500100250,59.6927029870,62.9798211430,34.5193666360,4.6620001790,5.7879303768,5.8637440789,28.1404512690,25.8208446140,90.1121894290,162.5254302400,4510.0000000000,73.1825286950,79.8604191390,72.2125980570,68.5821361120,100.0000000000,4789.7845634000
1978,52.5383801360,64.0538545030,65.7465164860,29.9805452800,4.6836671830,5.9656002169,5.8996101530,29.2071287570,25.9343336930,95.4373980280,172.2613496800,4597.0000000000,73.5602724290,78.8294412090,73.7111658690,72.9966732450,100.0000000000,5368.7890980000
1979,52.8975164770,62.7865035300,64.3572680540,31.3901017260,5.0026669500,5.8233947436,5.7924568453,30.4948786410,27.1957734070,101.1123826600,179.9398401800,4979.0000000000,71.8335938790,77.8851618760,75.0022587990,80.9757571930,100.0000000000,5979.3044466000
1980,58.2704743430,63.2994424590,64.4481820670,30.9150126260,4.9760828020,5.7855449150,5.6587160923,32.3320854890,29.0173142450,106.8460867400,181.3853265100,5039.0000000000,75.2134688010,84.7597057150,79.3697548550,86.5424065290,100.0000000000,7091.7075626000
1981,60.4690535910,63.0855730200,63.2197080010,30.2894870550,5.5893330570,6.6249399251,6.3543319561,32.6358171080,29.0178326430,111.2420646400,186.5332391900,5120.0000000000,69.2242526040,79.0115530520,72.9892740180,79.0446240610,100.0000000000,8161.7238041000
1982,65.1297617700,63.5242794790,64.7803122320,29.8759547850,6.0699172020,6.5997657355,6.4857076577,30.3973611220,27.1780994150,105.7998872600,174.6711227800,5202.0000000000,64.9687849440,77.1923493880,67.0789383150,69.2929406540,100.0000000000,9054.9154619000
1983,65.2951542540,65.2526240970,65.8459714090,28.1482033760,7.2651672360,6.5991725263,6.4287616196,27.2077084860,24.4297153630,111.6825822900,193.7419473600,5285.0000000000,56.0359170570,66.1623876390,56.7567414150,56.2041847260,100.0000000000,9758.1051754000
1984,67.5122501170,61.9068568910,64.3715674870,32.0326070170,7.8179998400,6.0605360922,6.0652553408,24.6162652460,23.3426173100,120.2081162500,209.6092384800,5370.0000000000,53.9366465300,63.7688506200,54.8355195910,54.8966836550,100.0000000000,11128.3803230000
1985,66.7527086260,62.3121718640,66.2416573100,31.7024677140,7.7907500270,5.9853604224,6.1244058352,22.4615534330,21.7979467180,126.2241295300,209.5839358800,5456.0000000000,53.9589993540,66.5594840490,54.4684945170,52.6600185290,100.0000000000,11684.9286190000
1986,69.7143747360,62.4597460900,64.7370582770,31.6812339480,7.8033328060,5.8590199614,5.8831092076,23.3433040710,22.2933803980,130.7224252200,214.8620391500,5524.0000000000,54.9317462460,70.9129754880,56.6078844900,57.5022461170,100.0000000000,12779.2211260000
1987,76.3431533150,61.0154268350,63.4029960630,33.7017910770,7.7982501980,5.2827820875,5.4400602941,23.7987883660,23.1060716800,150.2829433100,235.0660117200,5580.5000000000,55.8342813070,75.7423012000,59.6915928270,66.0180961710,100.0000000000,14771.7943680000
1988,78.3588350160,61.8456181630,63.5644350060,33.0264319620,7.8060002330,5.1279498748,5.2180778373,24.2353777490,23.1533794340,172.5719052800,256.6987830300,5626.6000000000,57.9990304740,82.3157188930,64.0042070120,75.4541354200,100.0000000000,16185.8648600000
1989,79.0851561510,60.9986196820,64.0384524890,33.7739004040,7.7999172210,5.2274799139,5.3458509624,22.1604493550,21.6755055180,182.6698491500,254.1632319700,5686.2000000000,61.2163320590,89.9179502820,68.1025486740,81.9113902600,100.0000000000,17389.7385030000
1990,80.4072048910,62.8580193670,65.0218707260,31.6234089180,7.7897500990,5.5185717147,5.4198015642,23.2082568550,22.8231865730,192.9966305100,260.1827627600,5704.5000000000,63.8698518910,95.4186656710,70.8397098180,83.8726030620,100.0000000000,18497.6359760000
1991,86.7683948040,64.4030516310,66.6795907210,30.3285840840,7.7711668010,5.2683642843,5.5072101645,23.7463889240,23.2118065090,212.1022877300,270.7675736600,5754.8000000000,66.6590869980,107.2673180300,73.3957599140,84.1516936870,100.0000000000,20365.4722130000
1992,90.0381206430,65.2339201330,66.9677280460,29.1097362070,7.7405829430,5.6563436596,5.8189463453,23.9688105870,24.1466003010,236.1378486900,280.1804462600,5801.5000000000,69.8947308770,114.2611051500,78.4870761380,93.4299186720,100.0000000000,22075.2969880000
1993,93.1186060220,65.3917937690,67.7333584560,29.2250005070,7.7355828290,5.3832057236,5.5972314362,22.5107371680,22.8198132640,250.2237948200,275.2847969100,5901.0000000000,72.5048856790,124.4350328400,82.4290479040,101.2126136200,101.4485276800,23749.4710170000
1994,92.4801619470,66.8970166820,68.4601815770,27.6954909750,7.7284169200,5.4074923428,5.5075087802,26.7040746560,26.9434347960,265.1374196000,278.5879856800,5998.0000000000,77.0575262310,134.4864952600,87.6821230120,104.8203144500,101.1860835500,24816.2340210000
1995,88.6791080930,67.6325948670,66.6238052050,26.7511844940,7.7358331680,5.6162206394,5.4306452372,31.4099920620,30.5669974560,283.9901889400,304.6860149300,6156.0000000000,82.0860905000,142.4362586500,91.1051874860,101.3470974700,101.9505356800,24736.9652850000
1996,89.0385161880,67.2528964110,67.2528964110,27.3064840620,7.7342538830,5.4406195272,5.4406195272,28.9899857450,28.9899857450,286.1952862000,286.1952862000,6311.0000000000,84.6134522760,150.6600800000,93.6331536310,103.8552777200,100.0000000000,25993.8246820000
1997,87.9166036770,67.8182836070,67.9023682890,26.9124636010,7.7420830730,5.2692527924,5.3013860810,30.7032141700,31.0226380470,288.9167467600,269.1432903700,6502.0000000000,86.3296881640,158.7303200600,96.7718114340,109.2034686100,100.7659420200,27076.4131890000
1998,79.4014482840,66.1422049720,67.0406013020,28.3165476180,7.7453331950,5.5412474102,5.6968715921,26.7355199500,28.0318756400,293.0197223300,256.1264822100,6645.6000000000,87.4602511740,161.6623485400,96.0339833720,103.6426831200,102.2782317300,25591.2370390000
1999,76.1105845670,66.7235222570,65.8569672780,27.4731534230,7.7575001720,5.8033243204,5.7464189521,21.7867196290,22.7488159720,290.5694919200,260.7636068200,6720.7000000000,82.2003894580,155.7992303100,91.9845381960,104.9509469100,102.8509522200,25668.8798410000
2000,78.3086703100,64.4525185500,63.3605968710,29.7260563100,7.7911667820,5.8214251401,5.3560522070,24.9904604140,25.2661399400,309.5751654200,295.1854775100,6797.0000000000,77.3091047440,141.8806717000,85.7767006130,94.5461593770,101.7369413700,27892.5041650000